Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (ug),Folate (ug),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (ug),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (ug),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2025-02-01,Old Fashioned Oats,1.00 x 40 g,150,,,200,0.2,0.1,1.1,0.3,0.1,,32,,,,,15,,1.5,45,1.4,130,160,,,1.4,27,4,21,1,23,3,,1,1,0.5,,,,,,,,,,,5,0.2,0.05,0.2,0.3,Breakfast Cereals
2025-02-01,Greek Yogurt,1.00 x 170 g,120,,,140,0.1,0.2,0.3,0.7,0.1,0.9,20,,40,,,200,0.02,0.1,20,,150,240,20,60,0.6,6,,,6,6,4,15,1,0.1,2.5,,,,,,,,,,,17,0.7,0.2,0.4,0.6,Dairy and Egg Products
2025-02-01,BroccoMax,1.00 x 2.0 pills,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supplements
2025-02-01,"Cvs Health, 100% Pure Omega-3 Krill Oil, 500 mg",1.00 softgel,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,0.2,0.5,0.2,,0.3,0.6,,,,,,,,,,,,,Supplements
2025-02-02,Chicken Breast,1.00 x 120 g,198,,,,0.1,0.1,13.0,1.2,0.6,0.3,5,,,0.3,1,12,0.04,0.7,34,,220,260,25,70,1.0,,,,,,4.2,95,1.1,0.9,1.2,,,,,,,,,,,36,1.6,0.4,1.4,1.7,Poultry Products
2025-02-02,Salmon,1.00 x 140 g,280,,,,0.2,0.1,10.0,1.5,0.8,3.0,20,,400,1.4,4,20,0.05,0.6,35,,280,400,35,75,0.9,,,,,,18,70,6,4,4,,2.3,1.2,,,,,,,,34,1.4,0.4,1.3,1.6,Finfish and Shellfish Products
2025-02-02,"Force Factor, Total Beets Original Drink Powder, Pomegranate Berry",1.00 scoop,25,,,8,,,,,,,,,,,,20,,,,,,,,,,6,1,,4,5,,,,,,,,,,,,,,,,,,,,,Beverages
2025-02-03,Whole Egg,1.00 large,70,,,,,0.1,,0.7,,0.5,22,,40,0.7,,28,0.01,0.6,5,,86,70,10,65,0.6,1,,,,,5,186,2,0.7,1.6,,,,,,,,,,,6,0.3,0.1,0.2,0.3,Dairy and Egg Products
2025-02-03,Spinach,1.00 x 85 g,20,,,70,0.1,0.1,0.3,0.1,0.2,,60,28,,0.3,150,80,0.1,2.0,50,0.6,35,280,3,65,0.4,3,2,,0.4,1,0.2,,,,,,,,,,,,,,,2.5,,,,,Vegetables and Vegetable Products
2025-02-03,Almonds,1.00 x 28 g,164,,,,0.2,0.3,1.0,0.5,,,,,,7.3,,75,0.3,1.1,76,0.6,140,200,1,,0.9,6,3.5,,1.2,2.5,14,,9,3.5,1.2,,,,,,,,,,,6,0.3,0.1,0.3,0.4,Nut and Seed Products
